session_id,source_type,preset,scenario,split,target_interval_ms,records,seed,generator_version,raw_file
syn_0017,synthetic,slow,gradually_slowing,train,1500,180,20277966,synthetic_v1,data/synthetic/raw/syn_0017.csv
syn_0018,synthetic,slow,gradually_slowing,validation,1500,180,20278975,synthetic_v1,data/synthetic/raw/syn_0018.csv
syn_0019,synthetic,slow,gradually_slowing,test,1500,180,20279984,synthetic_v1,data/synthetic/raw/syn_0019.csv
syn_0020,synthetic,slow,gradually_slowing,test,1500,180,20280993,synthetic_v1,data/synthetic/raw/syn_0020.csv
syn_0021,synthetic,slow,gradually_speeding,train,1500,180,20282002,synthetic_v1,data/synthetic/raw/syn_0021.csv
syn_0022,synthetic,slow,gradually_speeding,train,1500,180,20283011,synthetic_v1,data/synthetic/raw/syn_0022.csv
syn_0023,synthetic,slow,gradually_speeding,train,1500,180,20284020,synthetic_v1,data/synthetic/raw/syn_0023.csv
syn_0024,synthetic,slow,gradually_speeding,train,1500,180,20285029,synthetic_v1,data/synthetic/raw/syn_0024.csv
syn_0025,synthetic,slow,gradually_speeding,train,1500,180,20286038,synthetic_v1,data/synthetic/raw/syn_0025.csv
syn_0026,synthetic,slow,gradually_speeding,train,1500,180,20287047,synthetic_v1,data/synthetic/raw/syn_0026.csv
syn_0027,synthetic,slow,gradually_speeding,train,1500,180,20288056,synthetic_v1,data/synthetic/raw/syn_0027.csv
syn_0028,synthetic,slow,gradually_speeding,validation,1500,180,20289065,synthetic_v1,data/synthetic/raw/syn_0028.csv
syn_0029,synthetic,slow,gradually_speeding,test,1500,180,20290074,synthetic_v1,data/synthetic/raw/syn_0029.csv
syn_0030,synthetic,slow,gradually_speeding,test,1500,180,20291083,synthetic_v1,data/synthetic/raw/syn_0030.csv
syn_0031,synthetic,slow,rapid_change,train,1500,180,20292092,synthetic_v1,data/synthetic/raw/syn_0031.csv
syn_0032,synthetic,slow,rapid_change,train,1500,180,20293101,synthetic_v1,data/synthetic/raw/syn_0032.csv
syn_0033,synthetic,slow,rapid_change,train,1500,180,20294110,synthetic_v1,data/synthetic/raw/syn_0033.csv
syn_0034,synthetic,slow,rapid_change,train,1500,180,20295119,synthetic_v1,data/synthetic/raw/syn_0034.csv
syn_0035,synthetic,slow,rapid_change,train,1500,180,20296128,synthetic_v1,data/synthetic/raw/syn_0035.csv
syn_0036,synthetic,slow,rapid_change,train,1500,180,20297137,synthetic_v1,data/synthetic/raw/syn_0036.csv
syn_0037,synthetic,slow,rapid_change,train,1500,180,20298146,synthetic_v1,data/synthetic/raw/syn_0037.csv
syn_0038,synthetic,slow,rapid_change,validation,1500,180,20299155,synthetic_v1,data/synthetic/raw/syn_0038.csv
syn_0039,synthetic,slow,rapid_change,test,1500,180,20300164,synthetic_v1,data/synthetic/raw/syn_0039.csv
syn_0040,synthetic,slow,rapid_change,test,1500,180,20301173,synthetic_v1,data/synthetic/raw/syn_0040.csv
syn_0041,synthetic,slow,temporary_disturbance,train,1500,180,20302182,synthetic_v1,data/synthetic/raw/syn_0041.csv
syn_0042,synthetic,slow,temporary_disturbance,train,1500,180,20303191,synthetic_v1,data/synthetic/raw/syn_0042.csv
syn_0043,synthetic,slow,temporary_disturbance,train,1500,180,20304200,synthetic_v1,data/synthetic/raw/syn_0043.csv
syn_0044,synthetic,slow,temporary_disturbance,train,1500,180,20305209,synthetic_v1,data/synthetic/raw/syn_0044.csv
syn_0045,synthetic,slow,temporary_disturbance,train,1500,180,20306218,synthetic_v1,data/synthetic/raw/syn_0045.csv
syn_0046,synthetic,slow,temporary_disturbance,train,1500,180,20307227,synthetic_v1,data/synthetic/raw/syn_0046.csv
syn_0047,synthetic,slow,temporary_disturbance,train,1500,180,20308236,synthetic_v1,data/synthetic/raw/syn_0047.csv
syn_0048,synthetic,slow,temporary_disturbance,validation,1500,180,20309245,synthetic_v1,data/synthetic/raw/syn_0048.csv
syn_0049,synthetic,slow,temporary_disturbance,test,1500,180,20310254,synthetic_v1,data/synthetic/raw/syn_0049.csv
syn_0050,synthetic,slow,temporary_disturbance,test,1500,180,20311263,synthetic_v1,data/synthetic/raw/syn_0050.csv
syn_0051,synthetic,slow,missing_drop,train,1500,180,20312272,synthetic_v1,data/synthetic/raw/syn_0051.csv
syn_0052,synthetic,slow,missing_drop,train,1500,180,20313281,synthetic_v1,data/synthetic/raw/syn_0052.csv
syn_0053,synthetic,slow,missing_drop,train,1500,180,20314290,synthetic_v1,data/synthetic/raw/syn_0053.csv
syn_0054,synthetic,slow,missing_drop,train,1500,180,20315299,synthetic_v1,data/synthetic/raw/syn_0054.csv
syn_0055,synthetic,slow,missing_drop,train,1500,180,20316308,synthetic_v1,data/synthetic/raw/syn_0055.csv
syn_0056,synthetic,slow,missing_drop,train,1500,180,20317317,synthetic_v1,data/synthetic/raw/syn_0056.csv
syn_0057,synthetic,slow,missing_drop,train,1500,180,20318326,synthetic_v1,data/synthetic/raw/syn_0057.csv
syn_0058,synthetic,slow,missing_drop,validation,1500,180,20319335,synthetic_v1,data/synthetic/raw/syn_0058.csv
syn_0059,synthetic,slow,missing_drop,test,1500,180,20320344,synthetic_v1,data/synthetic/raw/syn_0059.csv
syn_0060,synthetic,slow,missing_drop,test,1500,180,20321353,synthetic_v1,data/synthetic/raw/syn_0060.csv
syn_0061,synthetic,slow,recovery,train,1500,180,20322362,synthetic_v1,data/synthetic/raw/syn_0061.csv
syn_0062,synthetic,slow,recovery,train,1500,180,20323371,synthetic_v1,data/synthetic/raw/syn_0062.csv
syn_0063,synthetic,slow,recovery,train,1500,180,20324380,synthetic_v1,data/synthetic/raw/syn_0063.csv
syn_0064,synthetic,slow,recovery,train,1500,180,20325389,synthetic_v1,data/synthetic/raw/syn_0064.csv
syn_0065,synthetic,slow,recovery,train,1500,180,20326398,synthetic_v1,data/synthetic/raw/syn_0065.csv
syn_0066,synthetic,slow,recovery,train,1500,180,20327407,synthetic_v1,data/synthetic/raw/syn_0066.csv
syn_0067,synthetic,slow,recovery,train,1500,180,20328416,synthetic_v1,data/synthetic/raw/syn_0067.csv
syn_0068,synthetic,slow,recovery,validation,1500,180,20329425,synthetic_v1,data/synthetic/raw/syn_0068.csv
syn_0069,synthetic,slow,recovery,test,1500,180,20330434,synthetic_v1,data/synthetic/raw/syn_0069.csv
syn_0070,synthetic,slow,recovery,test,1500,180,20331443,synthetic_v1,data/synthetic/raw/syn_0070.csv
syn_0071,synthetic,slow,irregular,train,1500,180,20332452,synthetic_v1,data/synthetic/raw/syn_0071.csv
syn_0072,synthetic,slow,irregular,train,1500,180,20333461,synthetic_v1,data/synthetic/raw/syn_0072.csv
syn_0073,synthetic,slow,irregular,train,1500,180,20334470,synthetic_v1,data/synthetic/raw/syn_0073.csv
syn_0074,synthetic,slow,irregular,train,1500,180,20335479,synthetic_v1,data/synthetic/raw/syn_0074.csv
syn_0075,synthetic,slow,irregular,train,1500,180,20336488,synthetic_v1,data/synthetic/raw/syn_0075.csv
syn_0076,synthetic,slow,irregular,train,1500,180,20337497,synthetic_v1,data/synthetic/raw/syn_0076.csv
syn_0077,synthetic,slow,irregular,train,1500,180,20338506,synthetic_v1,data/synthetic/raw/syn_0077.csv
syn_0078,synthetic,slow,irregular,validation,1500,180,20339515,synthetic_v1,data/synthetic/raw/syn_0078.csv
syn_0079,synthetic,slow,irregular,test,1500,180,20340524,synthetic_v1,data/synthetic/raw/syn_0079.csv
syn_0080,synthetic,slow,irregular,test,1500,180,20341533,synthetic_v1,data/synthetic/raw/syn_0080.csv
syn_0081,synthetic,normal,stable,train,1000,180,20342542,synthetic_v1,data/synthetic/raw/syn_0081.csv
syn_0082,synthetic,normal,stable,train,1000,180,20343551,synthetic_v1,data/synthetic/raw/syn_0082.csv
syn_0083,synthetic,normal,stable,train,1000,180,20344560,synthetic_v1,data/synthetic/raw/syn_0083.csv
syn_0084,synthetic,normal,stable,train,1000,180,20345569,synthetic_v1,data/synthetic/raw/syn_0084.csv
syn_0085,synthetic,normal,stable,train,1000,180,20346578,synthetic_v1,data/synthetic/raw/syn_0085.csv
syn_0086,synthetic,normal,stable,train,1000,180,20347587,synthetic_v1,data/synthetic/raw/syn_0086.csv
syn_0087,synthetic,normal,stable,train,1000,180,20348596,synthetic_v1,data/synthetic/raw/syn_0087.csv
syn_0088,synthetic,normal,stable,validation,1000,180,20349605,synthetic_v1,data/synthetic/raw/syn_0088.csv
syn_0089,synthetic,normal,stable,test,1000,180,20350614,synthetic_v1,data/synthetic/raw/syn_0089.csv
syn_0090,synthetic,normal,stable,test,1000,180,20351623,synthetic_v1,data/synthetic/raw/syn_0090.csv
syn_0091,synthetic,normal,gradually_slowing,train,1000,180,20352632,synthetic_v1,data/synthetic/raw/syn_0091.csv
syn_0092,synthetic,normal,gradually_slowing,train,1000,180,20353641,synthetic_v1,data/synthetic/raw/syn_0092.csv
syn_0093,synthetic,normal,gradually_slowing,train,1000,180,20354650,synthetic_v1,data/synthetic/raw/syn_0093.csv
syn_0094,synthetic,normal,gradually_slowing,train,1000,180,20355659,synthetic_v1,data/synthetic/raw/syn_0094.csv
syn_0095,synthetic,normal,gradually_slowing,train,1000,180,20356668,synthetic_v1,data/synthetic/raw/syn_0095.csv
syn_0096,synthetic,normal,gradually_slowing,train,1000,180,20357677,synthetic_v1,data/synthetic/raw/syn_0096.csv
syn_0097,synthetic,normal,gradually_slowing,train,1000,180,20358686,synthetic_v1,data/synthetic/raw/syn_0097.csv
syn_0098,synthetic,normal,gradually_slowing,validation,1000,180,20359695,synthetic_v1,data/synthetic/raw/syn_0098.csv
syn_0099,synthetic,normal,gradually_slowing,test,1000,180,20360704,synthetic_v1,data/synthetic/raw/syn_0099.csv
syn_0100,synthetic,normal,gradually_slowing,test,1000,180,20361713,synthetic_v1,data/synthetic/raw/syn_0100.csv
syn_0101,synthetic,normal,gradually_speeding,train,1000,180,20362722,synthetic_v1,data/synthetic/raw/syn_0101.csv
syn_0102,synthetic,normal,gradually_speeding,train,1000,180,20363731,synthetic_v1,data/synthetic/raw/syn_0102.csv
syn_0103,synthetic,normal,gradually_speeding,train,1000,180,20364740,synthetic_v1,data/synthetic/raw/syn_0103.csv
syn_0104,synthetic,normal,gradually_speeding,train,1000,180,20365749,synthetic_v1,data/synthetic/raw/syn_0104.csv
syn_0105,synthetic,normal,gradually_speeding,train,1000,180,20366758,synthetic_v1,data/synthetic/raw/syn_0105.csv
syn_0106,synthetic,normal,gradually_speeding,train,1000,180,20367767,synthetic_v1,data/synthetic/raw/syn_0106.csv
syn_0107,synthetic,normal,gradually_speeding,train,1000,180,20368776,synthetic_v1,data/synthetic/raw/syn_0107.csv
syn_0108,synthetic,normal,gradually_speeding,validation,1000,180,20369785,synthetic_v1,data/synthetic/raw/syn_0108.csv
syn_0109,synthetic,normal,gradually_speeding,test,1000,180,20370794,synthetic_v1,data/synthetic/raw/syn_0109.csv
syn_0110,synthetic,normal,gradually_speeding,test,1000,180,20371803,synthetic_v1,data/synthetic/raw/syn_0110.csv
syn_0111,synthetic,normal,rapid_change,train,1000,180,20372812,synthetic_v1,data/synthetic/raw/syn_0111.csv
syn_0112,synthetic,normal,rapid_change,train,1000,180,20373821,synthetic_v1,data/synthetic/raw/syn_0112.csv
syn_0113,synthetic,normal,rapid_change,train,1000,180,20374830,synthetic_v1,data/synthetic/raw/syn_0113.csv
syn_0114,synthetic,normal,rapid_change,train,1000,180,20375839,synthetic_v1,data/synthetic/raw/syn_0114.csv
syn_0115,synthetic,normal,rapid_change,train,1000,180,20376848,synthetic_v1,data/synthetic/raw/syn_0115.csv
syn_0116,synthetic,normal,rapid_change,train,1000,180,20377857,synthetic_v1,data/synthetic/raw/syn_0116.csv
syn_0117,synthetic,normal,rapid_change,train,1000,180,20378866,synthetic_v1,data/synthetic/raw/syn_0117.csv
syn_0118,synthetic,normal,rapid_change,validation,1000,180,20379875,synthetic_v1,data/synthetic/raw/syn_0118.csv
syn_0119,synthetic,normal,rapid_change,test,1000,180,20380884,synthetic_v1,data/synthetic/raw/syn_0119.csv
syn_0120,synthetic,normal,rapid_change,test,1000,180,20381893,synthetic_v1,data/synthetic/raw/syn_0120.csv
syn_0121,synthetic,normal,temporary_disturbance,train,1000,180,20382902,synthetic_v1,data/synthetic/raw/syn_0121.csv
syn_0122,synthetic,normal,temporary_disturbance,train,1000,180,20383911,synthetic_v1,data/synthetic/raw/syn_0122.csv
syn_0123,synthetic,normal,temporary_disturbance,train,1000,180,20384920,synthetic_v1,data/synthetic/raw/syn_0123.csv
syn_0124,synthetic,normal,temporary_disturbance,train,1000,180,20385929,synthetic_v1,data/synthetic/raw/syn_0124.csv
syn_0125,synthetic,normal,temporary_disturbance,train,1000,180,20386938,synthetic_v1,data/synthetic/raw/syn_0125.csv
syn_0126,synthetic,normal,temporary_disturbance,train,1000,180,20387947,synthetic_v1,data/synthetic/raw/syn_0126.csv
syn_0127,synthetic,normal,temporary_disturbance,train,1000,180,20388956,synthetic_v1,data/synthetic/raw/syn_0127.csv
syn_0128,synthetic,normal,temporary_disturbance,validation,1000,180,20389965,synthetic_v1,data/synthetic/raw/syn_0128.csv
syn_0129,synthetic,normal,temporary_disturbance,test,1000,180,20390974,synthetic_v1,data/synthetic/raw/syn_0129.csv
syn_0130,synthetic,normal,temporary_disturbance,test,1000,180,20391983,synthetic_v1,data/synthetic/raw/syn_0130.csv
syn_0131,synthetic,normal,missing_drop,train,1000,180,20392992,synthetic_v1,data/synthetic/raw/syn_0131.csv
syn_0132,synthetic,normal,missing_drop,train,1000,180,20394001,synthetic_v1,data/synthetic/raw/syn_0132.csv
syn_0133,synthetic,normal,missing_drop,train,1000,180,20395010,synthetic_v1,data/synthetic/raw/syn_0133.csv
syn_0134,synthetic,normal,missing_drop,train,1000,180,20396019,synthetic_v1,data/synthetic/raw/syn_0134.csv
syn_0135,synthetic,normal,missing_drop,train,1000,180,20397028,synthetic_v1,data/synthetic/raw/syn_0135.csv
syn_0136,synthetic,normal,missing_drop,train,1000,180,20398037,synthetic_v1,data/synthetic/raw/syn_0136.csv
syn_0137,synthetic,normal,missing_drop,train,1000,180,20399046,synthetic_v1,data/synthetic/raw/syn_0137.csv
syn_0138,synthetic,normal,missing_drop,validation,1000,180,20400055,synthetic_v1,data/synthetic/raw/syn_0138.csv
syn_0139,synthetic,normal,missing_drop,test,1000,180,20401064,synthetic_v1,data/synthetic/raw/syn_0139.csv
syn_0140,synthetic,normal,missing_drop,test,1000,180,20402073,synthetic_v1,data/synthetic/raw/syn_0140.csv
syn_0141,synthetic,normal,recovery,train,1000,180,20403082,synthetic_v1,data/synthetic/raw/syn_0141.csv
syn_0142,synthetic,normal,recovery,train,1000,180,20404091,synthetic_v1,data/synthetic/raw/syn_0142.csv
syn_0143,synthetic,normal,recovery,train,1000,180,20405100,synthetic_v1,data/synthetic/raw/syn_0143.csv
syn_0144,synthetic,normal,recovery,train,1000,180,20406109,synthetic_v1,data/synthetic/raw/syn_0144.csv
syn_0145,synthetic,normal,recovery,train,1000,180,20407118,synthetic_v1,data/synthetic/raw/syn_0145.csv
syn_0146,synthetic,normal,recovery,train,1000,180,20408127,synthetic_v1,data/synthetic/raw/syn_0146.csv
syn_0147,synthetic,normal,recovery,train,1000,180,20409136,synthetic_v1,data/synthetic/raw/syn_0147.csv
syn_0148,synthetic,normal,recovery,validation,1000,180,20410145,synthetic_v1,data/synthetic/raw/syn_0148.csv
syn_0149,synthetic,normal,recovery,test,1000,180,20411154,synthetic_v1,data/synthetic/raw/syn_0149.csv
syn_0150,synthetic,normal,recovery,test,1000,180,20412163,synthetic_v1,data/synthetic/raw/syn_0150.csv
syn_0151,synthetic,normal,irregular,train,1000,180,20413172,synthetic_v1,data/synthetic/raw/syn_0151.csv
syn_0152,synthetic,normal,irregular,train,1000,180,20414181,synthetic_v1,data/synthetic/raw/syn_0152.csv
syn_0153,synthetic,normal,irregular,train,1000,180,20415190,synthetic_v1,data/synthetic/raw/syn_0153.csv
syn_0154,synthetic,normal,irregular,train,1000,180,20416199,synthetic_v1,data/synthetic/raw/syn_0154.csv
syn_0155,synthetic,normal,irregular,train,1000,180,20417208,synthetic_v1,data/synthetic/raw/syn_0155.csv
syn_0156,synthetic,normal,irregular,train,1000,180,20418217,synthetic_v1,data/synthetic/raw/syn_0156.csv
syn_0157,synthetic,normal,irregular,train,1000,180,20419226,synthetic_v1,data/synthetic/raw/syn_0157.csv
syn_0158,synthetic,normal,irregular,validation,1000,180,20420235,synthetic_v1,data/synthetic/raw/syn_0158.csv
syn_0159,synthetic,normal,irregular,test,1000,180,20421244,synthetic_v1,data/synthetic/raw/syn_0159.csv
syn_0160,synthetic,normal,irregular,test,1000,180,20422253,synthetic_v1,data/synthetic/raw/syn_0160.csv
syn_0161,synthetic,fast,stable,train,750,180,20423262,synthetic_v1,data/synthetic/raw/syn_0161.csv
syn_0162,synthetic,fast,stable,train,750,180,20424271,synthetic_v1,data/synthetic/raw/syn_0162.csv
syn_0163,synthetic,fast,stable,train,750,180,20425280,synthetic_v1,data/synthetic/raw/syn_0163.csv
syn_0164,synthetic,fast,stable,train,750,180,20426289,synthetic_v1,data/synthetic/raw/syn_0164.csv
syn_0165,synthetic,fast,stable,train,750,180,20427298,synthetic_v1,data/synthetic/raw/syn_0165.csv
syn_0166,synthetic,fast,stable,train,750,180,20428307,synthetic_v1,data/synthetic/raw/syn_0166.csv
syn_0167,synthetic,fast,stable,train,750,180,20429316,synthetic_v1,data/synthetic/raw/syn_0167.csv
syn_0168,synthetic,fast,stable,validation,750,180,20430325,synthetic_v1,data/synthetic/raw/syn_0168.csv
syn_0169,synthetic,fast,stable,test,750,180,20431334,synthetic_v1,data/synthetic/raw/syn_0169.csv
syn_0170,synthetic,fast,stable,test,750,180,20432343,synthetic_v1,data/synthetic/raw/syn_0170.csv
syn_0171,synthetic,fast,gradually_slowing,train,750,180,20433352,synthetic_v1,data/synthetic/raw/syn_0171.csv
syn_0172,synthetic,fast,gradually_slowing,train,750,180,20434361,synthetic_v1,data/synthetic/raw/syn_0172.csv
syn_0173,synthetic,fast,gradually_slowing,train,750,180,20435370,synthetic_v1,data/synthetic/raw/syn_0173.csv
syn_0174,synthetic,fast,gradually_slowing,train,750,180,20436379,synthetic_v1,data/synthetic/raw/syn_0174.csv
syn_0175,synthetic,fast,gradually_slowing,train,750,180,20437388,synthetic_v1,data/synthetic/raw/syn_0175.csv
syn_0176,synthetic,fast,gradually_slowing,train,750,180,20438397,synthetic_v1,data/synthetic/raw/syn_0176.csv
syn_0177,synthetic,fast,gradually_slowing,train,750,180,20439406,synthetic_v1,data/synthetic/raw/syn_0177.csv
syn_0178,synthetic,fast,gradually_slowing,validation,750,180,20440415,synthetic_v1,data/synthetic/raw/syn_0178.csv
syn_0179,synthetic,fast,gradually_slowing,test,750,180,20441424,synthetic_v1,data/synthetic/raw/syn_0179.csv
syn_0180,synthetic,fast,gradually_slowing,test,750,180,20442433,synthetic_v1,data/synthetic/raw/syn_0180.csv
syn_0181,synthetic,fast,gradually_speeding,train,750,180,20443442,synthetic_v1,data/synthetic/raw/syn_0181.csv
syn_0182,synthetic,fast,gradually_speeding,train,750,180,20444451,synthetic_v1,data/synthetic/raw/syn_0182.csv
syn_0183,synthetic,fast,gradually_speeding,train,750,180,20445460,synthetic_v1,data/synthetic/raw/syn_0183.csv
syn_0184,synthetic,fast,gradually_speeding,train,750,180,20446469,synthetic_v1,data/synthetic/raw/syn_0184.csv
syn_0185,synthetic,fast,gradually_speeding,train,750,180,20447478,synthetic_v1,data/synthetic/raw/syn_0185.csv
syn_0186,synthetic,fast,gradually_speeding,train,750,180,20448487,synthetic_v1,data/synthetic/raw/syn_0186.csv
syn_0187,synthetic,fast,gradually_speeding,train,750,180,20449496,synthetic_v1,data/synthetic/raw/syn_0187.csv
syn_0188,synthetic,fast,gradually_speeding,validation,750,180,20450505,synthetic_v1,data/synthetic/raw/syn_0188.csv
syn_0189,synthetic,fast,gradually_speeding,test,750,180,20451514,synthetic_v1,data/synthetic/raw/syn_0189.csv
syn_0190,synthetic,fast,gradually_speeding,test,750,180,20452523,synthetic_v1,data/synthetic/raw/syn_0190.csv
syn_0191,synthetic,fast,rapid_change,train,750,180,20453532,synthetic_v1,data/synthetic/raw/syn_0191.csv
syn_0192,synthetic,fast,rapid_change,train,750,180,20454541,synthetic_v1,data/synthetic/raw/syn_0192.csv
syn_0193,synthetic,fast,rapid_change,train,750,180,20455550,synthetic_v1,data/synthetic/raw/syn_0193.csv
syn_0194,synthetic,fast,rapid_change,train,750,180,20456559,synthetic_v1,data/synthetic/raw/syn_0194.csv
syn_0195,synthetic,fast,rapid_change,train,750,180,20457568,synthetic_v1,data/synthetic/raw/syn_0195.csv
syn_0196,synthetic,fast,rapid_change,train,750,180,20458577,synthetic_v1,data/synthetic/raw/syn_0196.csv
syn_0197,synthetic,fast,rapid_change,train,750,180,20459586,synthetic_v1,data/synthetic/raw/syn_0197.csv
syn_0198,synthetic,fast,rapid_change,validation,750,180,20460595,synthetic_v1,data/synthetic/raw/syn_0198.csv
syn_0199,synthetic,fast,rapid_change,test,750,180,20461604,synthetic_v1,data/synthetic/raw/syn_0199.csv
syn_0200,synthetic,fast,rapid_change,test,750,180,20462613,synthetic_v1,data/synthetic/raw/syn_0200.csv
syn_0201,synthetic,fast,temporary_disturbance,train,750,180,20463622,synthetic_v1,data/synthetic/raw/syn_0201.csv
syn_0202,synthetic,fast,temporary_disturbance,train,750,180,20464631,synthetic_v1,data/synthetic/raw/syn_0202.csv
syn_0203,synthetic,fast,temporary_disturbance,train,750,180,20465640,synthetic_v1,data/synthetic/raw/syn_0203.csv
syn_0204,synthetic,fast,temporary_disturbance,train,750,180,20466649,synthetic_v1,data/synthetic/raw/syn_0204.csv
syn_0205,synthetic,fast,temporary_disturbance,train,750,180,20467658,synthetic_v1,data/synthetic/raw/syn_0205.csv
syn_0206,synthetic,fast,temporary_disturbance,train,750,180,20468667,synthetic_v1,data/synthetic/raw/syn_0206.csv
syn_0207,synthetic,fast,temporary_disturbance,train,750,180,20469676,synthetic_v1,data/synthetic/raw/syn_0207.csv
syn_0208,synthetic,fast,temporary_disturbance,validation,750,180,20470685,synthetic_v1,data/synthetic/raw/syn_0208.csv
syn_0209,synthetic,fast,temporary_disturbance,test,750,180,20471694,synthetic_v1,data/synthetic/raw/syn_0209.csv
syn_0210,synthetic,fast,temporary_disturbance,test,750,180,20472703,synthetic_v1,data/synthetic/raw/syn_0210.csv
syn_0211,synthetic,fast,missing_drop,train,750,180,20473712,synthetic_v1,data/synthetic/raw/syn_0211.csv
syn_0212,synthetic,fast,missing_drop,train,750,180,20474721,synthetic_v1,data/synthetic/raw/syn_0212.csv
syn_0213,synthetic,fast,missing_drop,train,750,180,20475730,synthetic_v1,data/synthetic/raw/syn_0213.csv
syn_0214,synthetic,fast,missing_drop,train,750,180,20476739,synthetic_v1,data/synthetic/raw/syn_0214.csv
syn_0215,synthetic,fast,missing_drop,train,750,180,20477748,synthetic_v1,data/synthetic/raw/syn_0215.csv
syn_0216,synthetic,fast,missing_drop,train,750,180,20478757,synthetic_v1,data/synthetic/raw/syn_0216.csv
syn_0217,synthetic,fast,missing_drop,train,750,180,20479766,synthetic_v1,data/synthetic/raw/syn_0217.csv
syn_0218,synthetic,fast,missing_drop,validation,750,180,20480775,synthetic_v1,data/synthetic/raw/syn_0218.csv
syn_0219,synthetic,fast,missing_drop,test,750,180,20481784,synthetic_v1,data/synthetic/raw/syn_0219.csv
syn_0220,synthetic,fast,missing_drop,test,750,180,20482793,synthetic_v1,data/synthetic/raw/syn_0220.csv
syn_0221,synthetic,fast,recovery,train,750,180,20483802,synthetic_v1,data/synthetic/raw/syn_0221.csv
syn_0222,synthetic,fast,recovery,train,750,180,20484811,synthetic_v1,data/synthetic/raw/syn_0222.csv
syn_0223,synthetic,fast,recovery,train,750,180,20485820,synthetic_v1,data/synthetic/raw/syn_0223.csv
syn_0224,synthetic,fast,recovery,train,750,180,20486829,synthetic_v1,data/synthetic/raw/syn_0224.csv
syn_0225,synthetic,fast,recovery,train,750,180,20487838,synthetic_v1,data/synthetic/raw/syn_0225.csv
syn_0226,synthetic,fast,recovery,train,750,180,20488847,synthetic_v1,data/synthetic/raw/syn_0226.csv
syn_0227,synthetic,fast,recovery,train,750,180,20489856,synthetic_v1,data/synthetic/raw/syn_0227.csv
syn_0228,synthetic,fast,recovery,validation,750,180,20490865,synthetic_v1,data/synthetic/raw/syn_0228.csv
syn_0229,synthetic,fast,recovery,test,750,180,20491874,synthetic_v1,data/synthetic/raw/syn_0229.csv
syn_0230,synthetic,fast,recovery,test,750,180,20492883,synthetic_v1,data/synthetic/raw/syn_0230.csv
syn_0231,synthetic,fast,irregular,train,750,180,20493892,synthetic_v1,data/synthetic/raw/syn_0231.csv
syn_0232,synthetic,fast,irregular,train,750,180,20494901,synthetic_v1,data/synthetic/raw/syn_0232.csv
syn_0233,synthetic,fast,irregular,train,750,180,20495910,synthetic_v1,data/synthetic/raw/syn_0233.csv
syn_0234,synthetic,fast,irregular,train,750,180,20496919,synthetic_v1,data/synthetic/raw/syn_0234.csv
syn_0235,synthetic,fast,irregular,train,750,180,20497928,synthetic_v1,data/synthetic/raw/syn_0235.csv
syn_0236,synthetic,fast,irregular,train,750,180,20498937,synthetic_v1,data/synthetic/raw/syn_0236.csv
syn_0237,synthetic,fast,irregular,train,750,180,20499946,synthetic_v1,data/synthetic/raw/syn_0237.csv
syn_0238,synthetic,fast,irregular,validation,750,180,20500955,synthetic_v1,data/synthetic/raw/syn_0238.csv
syn_0239,synthetic,fast,irregular,test,750,180,20501964,synthetic_v1,data/synthetic/raw/syn_0239.csv
syn_0240,synthetic,fast,irregular,test,750,180,20502973,synthetic_v1,data/synthetic/raw/syn_0240.csv
