session_id,split,preset,scenario,window_end_drop_number,future_start_drop_number,future_end_drop_number,label,ratio_t_minus_19,ratio_t_minus_18,ratio_t_minus_17,ratio_t_minus_16,ratio_t_minus_15,ratio_t_minus_14,ratio_t_minus_13,ratio_t_minus_12,ratio_t_minus_11,ratio_t_minus_10,ratio_t_minus_9,ratio_t_minus_8,ratio_t_minus_7,ratio_t_minus_6,ratio_t_minus_5,ratio_t_minus_4,ratio_t_minus_3,ratio_t_minus_2,ratio_t_minus_1,ratio_t_minus_0,error_percent_t_minus_19,error_percent_t_minus_18,error_percent_t_minus_17,error_percent_t_minus_16,error_percent_t_minus_15,error_percent_t_minus_14,error_percent_t_minus_13,error_percent_t_minus_12,error_percent_t_minus_11,error_percent_t_minus_10,error_percent_t_minus_9,error_percent_t_minus_8,error_percent_t_minus_7,error_percent_t_minus_6,error_percent_t_minus_5,error_percent_t_minus_4,error_percent_t_minus_3,error_percent_t_minus_2,error_percent_t_minus_1,error_percent_t_minus_0,delta_ratio_t_minus_19,delta_ratio_t_minus_18,delta_ratio_t_minus_17,delta_ratio_t_minus_16,delta_ratio_t_minus_15,delta_ratio_t_minus_14,delta_ratio_t_minus_13,delta_ratio_t_minus_12,delta_ratio_t_minus_11,delta_ratio_t_minus_10,delta_ratio_t_minus_9,delta_ratio_t_minus_8,delta_ratio_t_minus_7,delta_ratio_t_minus_6,delta_ratio_t_minus_5,delta_ratio_t_minus_4,delta_ratio_t_minus_3,delta_ratio_t_minus_2,delta_ratio_t_minus_1,delta_ratio_t_minus_0
syn_0001,train,slow,stable,49,50,54,1,1.02,1.018,1.02,1.016667,1.018,1.017333,1.022667,1.023333,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,2.0,1.8,2.0,1.6667,1.8,1.7333,2.2667,2.3333,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,0.0,-0.002,0.002,-0.003333,0.001333,-0.000667,0.005333,0.000667,-0.001333,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0
syn_0001,train,slow,stable,50,51,55,1,1.018,1.02,1.016667,1.018,1.017333,1.022667,1.023333,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.8,2.0,1.6667,1.8,1.7333,2.2667,2.3333,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,0.0,0.002,-0.003333,0.001333,-0.000667,0.005333,0.000667,-0.001333,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002
syn_0001,train,slow,stable,51,52,56,1,1.02,1.016667,1.018,1.017333,1.022667,1.023333,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,2.0,1.6667,1.8,1.7333,2.2667,2.3333,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,0.0,-0.003333,0.001333,-0.000667,0.005333,0.000667,-0.001333,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667
syn_0001,train,slow,stable,52,53,57,1,1.016667,1.018,1.017333,1.022667,1.023333,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.6667,1.8,1.7333,2.2667,2.3333,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,0.0,0.001333,-0.000667,0.005333,0.000667,-0.001333,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667
syn_0001,train,slow,stable,53,54,58,1,1.018,1.017333,1.022667,1.023333,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.018667,1.8,1.7333,2.2667,2.3333,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,1.8667,0.0,-0.000667,0.005333,0.000667,-0.001333,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667,0.000667
syn_0001,train,slow,stable,54,55,59,1,1.017333,1.022667,1.023333,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.018667,1.021333,1.7333,2.2667,2.3333,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,1.8667,2.1333,0.0,0.005333,0.000667,-0.001333,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667,0.000667,0.002667
syn_0001,train,slow,stable,55,56,60,1,1.022667,1.023333,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.018667,1.021333,1.021333,2.2667,2.3333,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,1.8667,2.1333,2.1333,0.0,0.000667,-0.001333,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667,0.000667,0.002667,0.0
syn_0001,train,slow,stable,56,57,61,1,1.023333,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.018667,1.021333,1.021333,1.020667,2.3333,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,1.8667,2.1333,2.1333,2.0667,0.0,-0.001333,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667,0.000667,0.002667,0.0,-0.000667
syn_0001,train,slow,stable,57,58,62,1,1.022,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.018667,1.021333,1.021333,1.020667,1.020667,2.2,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,1.8667,2.1333,2.1333,2.0667,2.0667,0.0,-0.002667,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667,0.000667,0.002667,0.0,-0.000667,0.0
syn_0001,train,slow,stable,58,59,63,1,1.019333,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.018667,1.021333,1.021333,1.020667,1.020667,1.022667,1.9333,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,1.8667,2.1333,2.1333,2.0667,2.0667,2.2667,0.0,0.000667,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667,0.000667,0.002667,0.0,-0.000667,0.0,0.002
syn_0001,train,slow,stable,59,60,64,1,1.02,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.018667,1.021333,1.021333,1.020667,1.020667,1.022667,1.022,2.0,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,1.8667,2.1333,2.1333,2.0667,2.0667,2.2667,2.2,0.0,0.002,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667,0.000667,0.002667,0.0,-0.000667,0.0,0.002,-0.000667
syn_0001,train,slow,stable,60,61,65,1,1.022,1.019333,1.02,1.021333,1.021333,1.021333,1.020667,1.02,1.02,1.018,1.018667,1.018,1.018667,1.021333,1.021333,1.020667,1.020667,1.022667,1.022,1.023333,2.2,1.9333,2.0,2.1333,2.1333,2.1333,2.0667,2.0,2.0,1.8,1.8667,1.8,1.8667,2.1333,2.1333,2.0667,2.0667,2.2667,2.2,2.3333,0.0,-0.002667,0.000667,0.001333,0.0,0.0,-0.000667,-0.000667,0.0,-0.002,0.000667,-0.000667,0.000667,0.002667,0.0,-0.000667,0.0,0.002,-0.000667,0.001333
